id,population,indust_part,preschool_facilities,school_facilities,hospital_beds_raion,healthcare_facilities,university_num,sport_objects_facilities,additional_education_facilities,culture_objects_facilities,shopping_centers_facilities,office_num,green_part,prom_part,cafe_count,church_facilities,mosque,leisure_facilities
81237,78616,0.093442564,6,8,3300.0,2,1,11,1,0,4,5,16.06,2.68,2,0,1,0
96765,125354,0.265088676,4,5,1937.0,3,0,6,4,0,2,0,3.24,0.0,2,0,0,0
64804,4001,0.007122317,0,0,,0,0,0,0,0,1,0,3.33,3.7,2,0,0,0
27439,9553,0.072157581,0,0,,0,0,1,0,0,0,1,0.0,14.0,0,1,0,0
17258,125354,0.265088676,4,5,1937.0,3,0,6,4,0,2,0,6.64,0.0,1,0,0,0
82675,113897,0.371148999,5,5,750.0,2,0,4,3,0,5,1,0.0,0.0,1,0,0,0
67205,155427,0.041124634,8,9,,1,0,6,2,0,10,5,13.96,0.0,1,0,0,0
96509,7122,0.017647053,0,0,,0,0,0,2,0,0,0,1.48,0.0,0,0,0,0
53250,9553,0.072157581,0,0,,0,0,1,0,0,0,1,27.33,1.6,0,1,0,0
39998,64317,0.014423114,1,1,,0,0,2,1,0,3,4,14.1,0.0,3,1,0,1
80469,9553,0.072157581,0,0,,0,0,1,0,0,0,1,27.33,1.6,0,1,0,0
31598,85219,0.161531741,6,6,30.0,2,0,4,1,0,4,1,3.95,12.74,0,0,0,0
65339,73148,0.092290642,5,5,165.0,1,0,3,2,0,2,2,0.0,5.95,4,1,0,0
73465,53786,0.150817539,2,4,2643.0,4,0,10,2,0,5,4,10.28,0.0,16,0,0,0
64218,85219,0.161531741,6,6,30.0,2,0,4,1,0,4,1,3.36,10.26,0,0,0,0
90011,4001,0.007122317,0,0,,0,0,0,0,0,1,0,33.39,0.0,0,0,0,0
99696,2546,0.034656082000000005,0,0,,0,0,0,0,0,0,0,86.86,0.0,0,0,0,0
73235,64317,0.014423114,1,1,,0,0,2,1,0,3,4,0.16,0.0,2,0,0,0
19060,178264,0.041116354,11,13,,1,0,13,4,0,4,4,0.0,5.03,1,0,0,0
55015,105663,0.161975568,4,5,4508.0,3,0,11,5,0,7,5,1.61,0.0,0,0,0,0
56365,87713,0.458174486,4,4,1130.0,1,0,6,2,0,5,1,15.84,2.56,1,0,0,0
