id,timestamp,full_sq,life_sq,floor,max_floor,material,build_year,num_room,kitch_sq,apartment condition,sub_area,price
81237,2014-09-23,50,28.0,11.0,12.0,1.0,1984.0,2.0,8.0,,77,8908240.0
96765,2014-07-31,42,28.0,1.0,5.0,2.0,1961.0,2.0,6.0,2.0,15,4616088.0
64804,2015-06-11,62,,9.0,17.0,1.0,,2.0,0.0,,103,5826176.84288
27439,2013-11-17,45,45.0,9.0,25.0,1.0,1.0,3.0,1.0,1.0,102,4053249.2
17258,2014-02-10,57,38.0,2.0,9.0,1.0,1968.0,3.0,6.0,3.0,15,2024600.0
82675,2012-11-03,19,14.0,5.0,,,,,,,124,801741.6
67205,2013-06-08,44,27.0,7.0,,,,,,,126,6235768.0
96509,2013-01-08,63,30.0,13.0,,,,,,,105,4315864.1152
53250,2013-03-04,48,,11.0,,,,,,,102,3303240.1792
39998,2013-12-17,45,30.0,5.0,5.0,5.0,1961.0,2.0,5.0,2.0,46,809840.0
80469,2013-05-08,48,,9.0,,,,,,,102,3593867.46
31598,2014-05-01,79,79.0,9.0,1.0,1.0,,3.0,1.0,,48,6678912.448
65339,2014-01-19,31,21.0,2.0,9.0,5.0,1965.0,1.0,5.0,3.0,8,4211168.0
73465,2014-11-05,32,20.0,2.0,5.0,1.0,1965.0,1.0,5.0,,85,4008708.0
64218,2013-12-12,38,20.0,7.0,14.0,1.0,1990.0,1.0,8.0,2.0,48,3603788.0
90011,2013-10-31,85,,10.0,0.0,6.0,,2.0,11.0,,103,6213155.64752
99696,2014-04-15,64,1.0,2.0,17.0,1.0,1.0,2.0,1.0,1.0,87,5172195.4099200005
73235,2014-02-19,44,28.0,6.0,12.0,5.0,1965.0,2.0,5.0,3.0,46,7167084.0
19060,2014-06-30,97,52.0,9.0,14.0,1.0,2008.0,3.0,12.0,,38,7814956.0
55015,2014-11-19,47,30.0,1.0,12.0,5.0,1967.0,2.0,9.0,3.0,119,7612496.0
56365,2012-07-10,38,22.0,3.0,,,,,,,21,4373136.0
22018,2014-11-11,38,23.0,7.0,9.0,2.0,1968.0,2.0,5.0,2.0,12,5587896.0
65808,2014-04-04,53,33.0,9.0,9.0,1.0,1968.0,3.0,6.0,,41,5101992.0
54577,2014-08-05,31,,4.0,12.0,4.0,,1.0,0.0,,31,4371981.978
39584,2014-11-01,54,,6.0,19.0,1.0,,2.0,0.0,,101,3543182.0039199996
22379,2014-01-05,53,30.0,7.0,12.0,1.0,1982.0,2.0,8.0,3.0,9,6883640.0
27727,2014-11-01,64,45.0,12.0,12.0,1.0,1980.0,3.0,6.0,2.0,9,1619680.0
92241,2013-05-18,62,62.0,9.0,,,,,,,103,4296516.22776
44055,2012-12-17,44,29.0,5.0,,,,,,,108,6114292.0
39470,2014-05-15,63,,15.0,17.0,1.0,,2.0,1.0,,103,5628826.93328
37279,2014-12-07,29,27.0,12.0,17.0,4.0,2014.0,1.0,0.0,1.0,87,1918911.8308
52830,2014-12-24,82,82.0,13.0,20.0,1.0,2015.0,3.0,1.0,1.0,102,7593045.26288
81614,2015-04-07,38,23.0,2.0,12.0,5.0,1971.0,2.0,6.0,3.0,78,5263960.0
51841,2014-04-16,78,,16.0,17.0,1.0,,3.0,1.0,,103,6595047.84712
65180,2012-02-22,56,36.0,8.0,,,,,,,30,8341352.0
13421,2014-11-12,63,,11.0,17.0,1.0,,2.0,10.0,,102,5851426.0344
98880,2014-05-23,63,,14.0,17.0,1.0,,2.0,1.0,1.0,72,5031697.888
21714,2013-04-23,39,,5.0,,,,,,,94,2741656.6312
33987,2014-06-23,39,17.0,7.0,17.0,1.0,2007.0,1.0,8.0,3.0,48,4049200.0
29133,2014-03-16,60,43.0,3.0,9.0,1.0,1974.0,3.0,6.0,2.0,21,6397736.0
75791,2014-11-13,63,,11.0,17.0,1.0,,2.0,1.0,,103,5764927.83384
80113,2014-04-08,43,28.0,1.0,5.0,2.0,1962.0,2.0,5.0,2.0,25,5000762.0
58130,2015-02-20,64,46.0,6.0,9.0,1.0,1977.0,4.0,6.0,2.0,37,7288560.0
98935,2013-08-18,59,43.0,2.0,9.0,1.0,1974.0,3.0,5.0,2.0,9,1619680.0
98994,2013-06-08,35,19.0,14.0,,,,,,,44,4778056.0
